date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral
1872-11-30,1872,Friendly,0.3,Scotland,England,0.0,0.0,0,False
1873-03-08,1873,Friendly,0.3,England,Scotland,4.0,2.0,1,False
1874-03-07,1874,Friendly,0.3,Scotland,England,2.0,1.0,1,False
1875-03-06,1875,Friendly,0.3,England,Scotland,2.0,2.0,0,False
1876-03-04,1876,Friendly,0.3,Scotland,England,3.0,0.0,1,False
1876-03-25,1876,Friendly,0.3,Scotland,Wales,4.0,0.0,1,False
1877-03-03,1877,Friendly,0.3,England,Scotland,1.0,3.0,-1,False
1877-03-05,1877,Friendly,0.3,Wales,Scotland,0.0,2.0,-1,False
1878-03-02,1878,Friendly,0.3,Scotland,England,7.0,2.0,1,False
1878-03-23,1878,Friendly,0.3,Scotland,Wales,9.0,0.0,1,False
1879-01-18,1879,Friendly,0.3,England,Wales,2.0,1.0,1,False
1879-04-05,1879,Friendly,0.3,England,Scotland,5.0,4.0,1,False
1879-04-07,1879,Friendly,0.3,Wales,Scotland,0.0,3.0,-1,False
1880-03-13,1880,Friendly,0.3,Scotland,England,5.0,4.0,1,False
1880-03-15,1880,Friendly,0.3,Wales,England,2.0,3.0,-1,False
1880-03-27,1880,Friendly,0.3,Scotland,Wales,5.0,1.0,1,False
1881-02-26,1881,Friendly,0.3,England,Wales,0.0,1.0,-1,False
1881-03-12,1881,Friendly,0.3,England,Scotland,1.0,6.0,-1,False
1881-03-14,1881,Friendly,0.3,Wales,Scotland,1.0,5.0,-1,False
1882-02-18,1882,Friendly,0.3,Northern Ireland,England,0.0,13.0,-1,False
1882-02-25,1882,Friendly,0.3,Wales,Northern Ireland,7.0,1.0,1,False
1882-03-11,1882,Friendly,0.3,Scotland,England,5.0,1.0,1,False
1882-03-13,1882,Friendly,0.3,Wales,England,5.0,3.0,1,False
1882-03-25,1882,Friendly,0.3,Scotland,Wales,5.0,0.0,1,False
1883-02-03,1883,Friendly,0.3,England,Wales,5.0,0.0,1,False
1883-02-24,1883,Friendly,0.3,England,Northern Ireland,7.0,0.0,1,False
1883-03-10,1883,Friendly,0.3,England,Scotland,2.0,3.0,-1,False
1883-03-12,1883,Friendly,0.3,Wales,Scotland,0.0,3.0,-1,False
1883-03-17,1883,Friendly,0.3,Northern Ireland,Wales,1.0,1.0,0,False
1884-01-26,1884,British Home Championship,0.5,Northern Ireland,Scotland,0.0,5.0,-1,False
1884-02-09,1884,British Home Championship,0.5,Wales,Northern Ireland,6.0,0.0,1,False
1884-02-23,1884,British Home Championship,0.5,Northern Ireland,England,1.0,8.0,-1,False
1884-03-15,1884,British Home Championship,0.5,Scotland,England,1.0,0.0,1,False
1884-03-17,1884,British Home Championship,0.5,Wales,England,0.0,4.0,-1,False
1884-03-29,1884,British Home Championship,0.5,Scotland,Wales,4.0,1.0,1,False
1885-02-28,1885,British Home Championship,0.5,England,Northern Ireland,4.0,0.0,1,False
1885-03-14,1885,British Home Championship,0.5,England,Wales,1.0,1.0,0,False
1885-03-14,1885,British Home Championship,0.5,Scotland,Northern Ireland,8.0,2.0,1,False
1885-03-21,1885,British Home Championship,0.5,England,Scotland,1.0,1.0,0,False
1885-03-23,1885,British Home Championship,0.5,Wales,Scotland,1.0,8.0,-1,False
1885-04-11,1885,British Home Championship,0.5,Northern Ireland,Wales,2.0,8.0,-1,False
1885-11-28,1885,Friendly,0.3,United States,Canada,0.0,1.0,-1,False
1886-02-27,1886,British Home Championship,0.5,Wales,Northern Ireland,5.0,0.0,1,False
1886-03-13,1886,British Home Championship,0.5,Northern Ireland,England,1.0,6.0,-1,False
1886-03-20,1886,British Home Championship,0.5,Northern Ireland,Scotland,2.0,7.0,-1,False
1886-03-27,1886,British Home Championship,0.5,Scotland,England,1.0,1.0,0,False
1886-03-29,1886,British Home Championship,0.5,Wales,England,1.0,3.0,-1,False
1886-04-10,1886,British Home Championship,0.5,Scotland,Wales,4.0,1.0,1,False
1886-11-25,1886,Friendly,0.3,United States,Canada,3.0,2.0,1,False
1887-02-05,1887,British Home Championship,0.5,England,Northern Ireland,7.0,0.0,1,False
1887-02-19,1887,British Home Championship,0.5,Scotland,Northern Ireland,4.0,1.0,1,False
1887-02-26,1887,British Home Championship,0.5,England,Wales,4.0,0.0,1,False
1887-03-12,1887,British Home Championship,0.5,Northern Ireland,Wales,4.0,1.0,1,False
