team,elo,rank
Spain,2079.6611610046375,1
Argentina,2065.934424551579,2
France,2015.7025634486045,3
England,1944.5164224476205,4
Brazil,1942.2965700729394,5
Colombia,1931.7822435719247,6
Portugal,1927.2318405048532,7
Ecuador,1920.7667624054407,8
Netherlands,1915.2651488352187,9
Germany,1898.7381074960047,10
Croatia,1895.1749069682585,11
Morocco,1893.5832267495966,12
Japan,1893.0522824588177,13
Uruguay,1881.662696925069,14
Turkey,1866.9550031201877,15
Mexico,1859.504618793629,16
Switzerland,1857.085324892758,17
Italy,1853.5189867130407,18
Senegal,1853.4278404076167,19
Belgium,1843.5521423170774,20
Paraguay,1836.195069914899,21
Australia,1830.0845161384661,22
Norway,1821.6481190001898,23
Denmark,1819.1981791581265,24
Iran,1815.0949289574476,25
South Korea,1806.5475794863244,26
Canada,1805.5227079962392,27
Algeria,1793.9094963040475,28
Austria,1793.1663741253797,29
Yugoslavia,1788.9568702341544,30
Ukraine,1784.2431418171002,31
Panama,1781.078211156346,32
Uzbekistan,1769.2534162516415,33
Russia,1769.2004682834197,34
Nigeria,1759.1147161631009,35
Venezuela,1758.7259553561053,36
Jersey,1757.7684019843277,37
Serbia,1747.7306861896216,38
Egypt,1742.7768118722197,39
United States,1738.6433078142704,40
Poland,1734.9644892743288,41
Ivory Coast,1733.0431327507729,42
Scotland,1732.9516893892542,43
Czechoslovakia,1727.656870333822,44
Sweden,1724.4663067026768,45
Greece,1723.2716994752845,46
Chile,1722.3851959883611,47
Hungary,1716.5675298803856,48
Tunisia,1716.0735635541032,49
Jordan,1714.7451679184635,50
Iraq,1713.5374760562688,51
Basque Country,1712.169168456157,52
Slovenia,1707.935594317352,53
Czech Republic,1706.6561803559366,54
DR Congo,1703.0268012215843,55
Costa Rica,1699.5435219508802,56
Wales,1698.4756590992204,57
Peru,1697.054048659614,58
Kosovo,1687.8045930331798,59
Guernsey,1687.6393315047906,60
Republic of Ireland,1685.2693431636421,61
German DR,1684.4534085054079,62
New Zealand,1676.636265995963,63
Cameroon,1672.6356778803172,64
Bolivia,1670.4620247261505,65
Slovakia,1665.9868559362073,66
Mali,1665.0830439920667,67
Isle of Man,1655.5140513347717,68
Haiti,1655.0265011345425,69
Saudi Arabia,1653.3380529761191,70
Burkina Faso,1653.0387901521233,71
Honduras,1645.9699012584915,72
